SMILES,PCE (%)
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C4C(=C3)C=5C=C(C=CC5N4C=6SC=7C(C6)=C8SC(=CC8=C9SC(=CC79)N%10C%11=CC=C(C=C%11C=%12C=C(C=CC%12%10)N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)N%17C%18=CC=C(C=C%18C=%19C=C(C=CC%19%17)N(C%20=CC=C(OC)C=C%20)C%21=CC=C(OC)C=C%21)N(C%22=CC=C(OC)C=C%22)C%23=CC=C(OC)C=C%23)N(C%24=CC=C(OC)C=C%24)C%25=CC=C(OC)C=C%25)C,17.0
COC1=CC=C(C=C1)N(C1=CC=2C(C3=CC(=CC=C3C2C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC,17.2
O(C1=CC=C(C=C1)C(=CC2=CC=C(C=C2)N(C3=CC=C(C=C3)C=C(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C6=CC=C(C=C6)C=C(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C,10.8
CCCCCCOc%19ccc(N(c1ccc(OCCCCC)cc1)c%18ccc(c8cc7c5cc(c4ccc(N(c2ccc(OCCCCCC)cc2)c3ccc(OCCCCCC)cc3)cc4)sc5c6cc%17c(cc6c7s8)c%12sc(c%11ccc(N(c9ccc(OCCCCCC)cc9)c%10ccc(OCCCCCC)cc%10)cc%11)cc%12c%16cc(c%15ccc(N(c%13ccc(OCCCCCC)cc%13)c%14ccc(OCCCCCC)cc%14)cc%15)sc%16%17)cc%18)cc%19,15.7
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C(C=CC4=CC=C(C=C4)N(C5=CC=C(OC)C=C5)C6=CC=C(C=CC7=CC=C(C=C7)N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C6)C=C3)C,16.1
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C=3C=CC=4C5=CC=C(C=C5C6(C=7C=CC=CC7N(C8=CC=C(C=C8)C(C)(C)C)C9=CC=C(C=C96)C(C)(C)C)C4C3)N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C,16.6
O1C=2C=CC=CC2N3C=4C=C(OCCCCCCCC)C(=CC4OC=5C=CC=C1C53)C=6C=C(C=C7C(C6)=C(C=C7C=8C=C9OC=%10C=CC=C%11OC=%12C=CC=CC%12N(C9=CC8OCCCCCCCC)C%11%10)C=%13C=C%14OC=%15C=CC=C%16OC=%17C=CC=CC%17N(C%14=CC%13OCCCCCCCC)C%16%15)C=%18C=C%19OC=%20C=CC=C%21OC=%22C=CC=CC%22N(C%19=CC%18OCCCCCCCC)C%21%20,15.7
N#CC1=CC=C2C3=CC=C(C=C3C4(C=5C=CC=CC5C=6C=CC=CC64)C2=C1)C7=CC=C8C9=CC=C(C=C9C(C8=C7)(CCCCCCCC)CCCCCCCC)N(C%10=CC=C(C=C%10)N%11C=%12C=CC=CC%12C=%13C=CC=CC%13%11)C%14=CC=C%15C%16=CC=C(C=C%16C(C%15=C%14)(CCCCCCCC)CCCCCCCC)C%17=CC=C%18C%19=CC=C(C#N)C=C%19C%20(C=%21C=CC=CC%21C=%22C=CC=CC%22%20)C%18=C%17,6.5
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C4C(=C3)C=5C(=C6C7=CC(=CC=C7N(C6=C8C9=CC(=CC=C9N(C58)CCCCCC)N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)CCCCCC)N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)N4CCCCCC)C,11.9
FC=1C(F)=C(C=2C=CC(=CC2)N3C4=CC=C(C=C4C=5C=C(C=CC53)N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C%10=NSN=C%10C1C%11=CC=C(C=C%11)N%12C%13=CC=C(C=C%13C=%14C=C(C=CC%14%12)N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18,15.71
